,game_id,boxscore_stub,week_ind,day_int,attendance,roof_type,humidity_pct,wind_speed,temperature,over_under_value,spread_value,spread_home_away,coach_rating,coach_rating_opp,home_strength,opp_strength,team_rating,team_rating_opp,score_home_test,score_opp_test,score_home_pred,score_opp_pred
2044,buf_rai_2023-09-17,/boxscores/202309170buf.htm,2.0,2,70772.0,outdoors,57.0,4.0,70.0,47.0,-8.0,1,104.2587136808316,52.54998931623926,12.166872652156542,-14.41504495197178,190.50268,98.49385,38.0,10.0,31.09341992806479,12.106125166017907
2045,was_buf_2023-09-24,/boxscores/202309240was.htm,3.0,2,64291.0,outdoors,96.0,1.0,65.0,43.5,-4.0,1,76.73656589801271,106.18573247327213,-17.071471939190282,-2.4281482425881693,111.94529,162.67775,3.0,37.0,13.991981488756343,24.4296850842666
2046,buf_mia_2023-10-01,/boxscores/202310010buf.htm,4.0,2,70881.0,outdoors,71.0,2.0,70.0,53.0,-2.0,1,107.59670663455071,108.81607142857148,12.482498227565891,-0.55716153362778,158.7088,149.53198,48.0,20.0,29.733932263200614,27.178261016732197
2047,buf_jax_2023-10-08,/boxscores/202310080buf.htm,5.0,2,61273.0,outdoors,52.0,7.0,75.0,48.5,-5.0,1,107.67464655297016,77.24024227645523,-16.356239188105945,-9.13748110022133,129.75393,188.13956,20.0,25.0,24.8404260303595,34.10517458681645
2048,buf_nyg_2023-10-15,/boxscores/202310150buf.htm,6.0,2,70515.0,outdoors,90.0,7.0,46.0,43.5,-15.0,1,106.44622451288492,15.177211538461506,16.4388090038951,-34.63139802969517,130.93431,143.17773,14.0,9.0,23.339473936372894,15.302594969053288
2049,nwe_buf_2023-10-22,/boxscores/202310220nwe.htm,7.0,2,64628.0,outdoors,65.0,13.0,55.0,41.5,-7.0,1,102.9145997970123,105.96072477705891,-37.476817023009446,21.45084342784774,141.48107000000002,152.07282,29.0,25.0,19.593213066923703,24.584111894263632
2050,buf_tam_2023-10-26,/boxscores/202310260buf.htm,8.0,5,70416.0,outdoors,60.0,10.0,66.0,43.5,-10.0,1,105.36428747125126,47.52066381987584,-8.648036257957006,-5.14039753636156,164.09577000000002,132.66733,24.0,18.0,26.100090213778756,19.141868967303605
2051,cin_buf_2023-11-05,/boxscores/202311050cin.htm,9.0,2,66965.0,outdoors,61.0,5.0,51.0,50.5,-1.0,0,34.11921820373714,106.2024331053097,-15.829450010316576,12.420604467343288,176.84067000000002,122.1462,24.0,18.0,30.53748089769138,20.81495583946672
2052,buf_den_2023-11-13,/boxscores/202311130buf.htm,10.0,1,70318.0,outdoors,61.0,10.0,49.0,47.5,-7.0,1,105.08737046033946,102.43861955489491,-21.120733119501093,5.887690624112069,121.22039,158.50480000000002,22.0,24.0,17.52301843176185,22.39676253903039
2053,buf_nyj_2023-11-19,/boxscores/202311190buf.htm,11.0,2,70603.0,outdoors,60.0,9.0,40.0,39.0,-7.0,1,105.31314968652036,21.607025939177177,-7.790871350621629,-16.855611930470896,172.07915,94.364,32.0,6.0,32.04269609452056,9.084185796908562
2054,phi_buf_2023-11-26,/boxscores/202311260phi.htm,12.0,2,69879.0,outdoors,88.0,6.0,47.0,48.5,-3.0,0,131.69791769293923,107.28505217836688,-25.90868108676294,18.28331882196089,137.49023,200.76347,37.0,34.0,25.910406510788953,37.94493686768145
2055,kan_buf_2023-12-10,/boxscores/202312100kan.htm,14.0,2,73639.0,outdoors,43.0,5.0,45.0,48.5,-1.0,0,94.46067510710844,108.07087901336638,-9.453543531726735,15.54756367303587,130.23567,158.29436,17.0,20.0,18.116739954437982,22.71870631271422
2056,buf_dal_2023-12-17,/boxscores/202312170buf.htm,15.0,2,70933.0,outdoors,90.0,9.0,48.0,49.5,-2.0,1,107.60568402894066,87.44375256322624,-27.88703979042708,16.702832441038606,153.87993,105.29866,31.0,10.0,22.051258010628505,9.601466404036707
2057,sdg_buf_2023-12-23,/boxscores/202312230sdg.htm,16.0,3,67678.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,44.0,-12.0,1,50.0,108.77241531342769,-16.248772161051058,7.417372416620447,143.54023,132.87498000000002,22.0,24.0,19.794295593727238,18.90722348300469
2058,buf_nwe_2023-12-31,/boxscores/202312310buf.htm,17.0,2,70772.0,outdoors,88.0,4.0,35.0,40.0,-14.0,1,108.9319610346834,100.22455394433166,-0.268649055475282,-5.200375106315413,141.96868,127.78405,27.0,21.0,22.41453589811057,14.076229357192126
2059,mia_buf_2024-01-07,/boxscores/202401070mia.htm,18.0,2,66292.0,outdoors,71.0,6.0,63.0,48.0,-2.0,1,125.2555105678635,108.5351892659761,-18.29098674167653,-4.387430550174864,108.2501,190.68422,14.0,21.0,19.513272707044862,39.306490459293364
2060,buf_pit_2024-01-15,/boxscores/202401150buf.htm,20.0,1,70040.0,outdoors,57.0,10.0,17.0,38.0,-10.0,1,109.90910650567416,86.5379301572618,8.61271665082777,-4.490244759636925,156.19068,131.34268,31.0,17.0,25.20608389876047,16.86798796700652
2061,buf_kan_2024-01-21,/boxscores/202401210buf.htm,21.0,2,70808.0,outdoors,67.0,11.0,25.0,45.5,-2.0,1,110.05032340979984,95.85345147033512,-13.012460853766887,-4.359665279177651,167.0967,124.43973,24.0,27.0,28.5151198171453,20.25327121390052
2062,nwe_mia_2023-09-17,/boxscores/202309170nwe.htm,2.0,2,64628.0,outdoors,77.0,3.0,63.0,46.5,-2.0,1,105.88932780847142,85.42080808080809,13.388360343225408,-22.961107132852337,136.32534,151.215,17.0,24.0,20.4968332746191,21.359269908423975
2063,mia_den_2023-09-24,/boxscores/202309240mia.htm,3.0,2,65522.0,outdoors,65.0,5.0,86.0,47.5,-6.0,1,89.86283333333327,109.61772888173772,-19.10212054436887,17.997626575390793,208.10974,139.34735,70.0,20.0,35.616646566722956,27.557372150031302
2064,mia_nyg_2023-10-08,/boxscores/202310080mia.htm,5.0,2,65654.0,outdoors,60.0,8.0,88.0,47.5,-13.0,1,104.61167832167834,24.705380434782573,-0.6106045927365877,-0.9135736151315011,151.25131,151.04709,31.0,16.0,28.23013989235022,22.120171918490097
2065,mia_car_2023-10-15,/boxscores/202310150mia.htm,6.0,2,65529.0,outdoors,56.0,12.0,87.0,47.5,-14.0,1,114.71237577639754,83.79966632430185,4.886377042475929,-15.938828445730666,153.89744000000002,140.55733,42.0,21.0,28.022184188591094,20.517892437026084
2066,phi_mia_2023-10-22,/boxscores/202310220phi.htm,7.0,2,69879.0,outdoors,44.0,17.0,55.0,51.5,-3.0,0,141.5340108278818,118.9185833333333,-11.953375441406823,14.33455212956579,168.91526000000002,109.73489,31.0,17.0,27.82942391301968,13.20400065447056
2067,mia_nwe_2023-10-29,/boxscores/202310290mia.htm,8.0,2,65836.0,outdoors,68.0,17.0,83.0,46.5,-8.0,1,111.5363124999999,102.8688696275521,-11.71931769035078,-3.5145181583734373,172.87097,106.77029,31.0,17.0,29.859586071761726,13.05487459983492
2068,kan_mia_2023-11-05,/boxscores/202311050kan.htm,9.0,2,50023.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,51.5,-1.0,0,94.83575293199718,117.18337104072396,-14.965293735752088,-5.860598484447129,130.24869,136.59326,21.0,14.0,18.449373444696423,21.470927501291794
2069,mia_rai_2023-11-19,/boxscores/202311190mia.htm,11.0,2,66026.0,outdoors,71.0,7.0,82.0,46.0,-13.0,1,115.9359523809524,63.14249999999999,-13.962732066697352,-14.720651565852217,164.88118,133.00239,20.0,13.0,31.237799978802062,18.583558560072053
2070,nyj_mia_2023-11-24,/boxscores/202311240nyj.htm,12.0,4,82973.0,outdoors,45.0,11.0,48.0,40.5,-9.0,1,16.56200336700337,119.17885839598992,-36.47657302775303,2.483932410508584,100.62406,167.85152000000002,13.0,34.0,7.748897143146417,30.47064305088096
2071,was_mia_2023-12-03,/boxscores/202312030was.htm,13.0,2,63459.0,outdoors,99.0,2.0,53.0,49.5,-9.0,1,73.20818986683314,126.41156681034482,-4.47618500153254,13.88029460640045,119.5337,161.94472000000002,15.0,45.0,14.303091916323,25.39523761773186
2072,mia_oti_2023-12-11,/boxscores/202312110mia.htm,14.0,1,66068.0,outdoors,73.0,9.0,64.0,46.5,-13.0,1,130.8782450980392,45.72840197340197,-6.320899843821691,3.48383233477855,153.39611,148.26775,27.0,28.0,28.572533289408767,22.311963995863984
2073,mia_nyj_2023-12-17,/boxscores/202312170mia.htm,15.0,2,65967.0,outdoors,69.0,15.0,76.0,36.5,-9.0,1,127.64899257552482,20.63711288416073,-43.96971303396032,-3.4557100655405835,155.85795000000002,89.15942,30.0,0.0,22.913175712015224,8.09443152112251
2074,mia_dal_2023-12-24,/boxscores/202312240mia.htm,16.0,2,66410.0,outdoors,66.0,15.0,75.0,49.0,-1.0,1,132.55487625313285,86.22081151657264,-9.252814418922895,-28.365479706648497,148.20391,147.47207,22.0,20.0,28.19490997266685,24.537338879667136
2075,rav_mia_2023-12-31,/boxscores/202312310rav.htm,17.0,2,71196.0,outdoors,41.0,7.0,50.0,46.5,-3.0,0,106.3897620402567,131.7066017316017,-37.12823372128676,6.7321220119480465,168.39832,146.79653000000002,56.0,19.0,33.10733045644247,25.61971284294596
2076,kan_mia_2024-01-13,/boxscores/202401130kan.htm,20.0,3,65954.40724793685,outdoors,64.0,19.0,-4.0,43.5,-4.0,0,95.14510101010104,117.5904347826087,-13.51266211652268,-4.681972305933163,166.17527,119.71923,26.0,7.0,28.16459942385346,18.37229095584771
2077,dal_nyj_2023-09-17,/boxscores/202309170dal.htm,2.0,2,93689.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,38.5,-8.0,0,80.66466942521522,18.23467782217778,-28.580031308654945,22.737292270861204,187.60712,87.56008,30.0,10.0,33.84652226509085,12.50530938591723
2078,nyj_nwe_2023-09-24,/boxscores/202309240nyj.htm,3.0,2,80876.0,outdoors,90.0,14.0,64.0,35.5,-2.0,0,14.142912457912502,105.08919222474388,-26.799575506588894,7.834571808304616,113.86572,149.96803,10.0,15.0,13.349368886732908,22.343421192160697
2079,nyj_kan_2023-10-01,/boxscores/202310010nyj.htm,4.0,2,80461.0,outdoors,71.0,5.0,69.0,41.5,-9.0,0,10.277371917372008,93.16822473974278,-19.305132486784068,-2.513721173146477,137.15194000000002,155.89532,20.0,23.0,19.964374950998142,24.368308809961647
2080,den_nyj_2023-10-08,/boxscores/202310080den.htm,5.0,2,76387.0,outdoors,17.0,9.0,73.0,42.5,-2.0,0,105.39753962823572,9.894141876430185,-20.123932654071165,-0.3805880929925946,123.45615,162.23117000000002,21.0,31.0,18.890049869171737,23.441791418380813
2081,nyj_phi_2023-10-15,/boxscores/202310150nyj.htm,6.0,2,83068.0,outdoors,54.0,11.0,59.0,43.5,-6.0,0,14.160432692307694,140.91883375843963,-4.423881762510391,-0.3912373364561157,126.2176,149.20854,20.0,14.0,15.738034900712282,22.658828880168826
2082,nyg_nyj_2023-10-29,/boxscores/202310290nyg.htm,8.0,2,83367.0,outdoors,89.0,6.0,52.0,34.5,-3.0,1,23.36869391025644,12.966100000000075,-33.67307782450136,-1.3498456267568184,137.86423,117.91836,10.0,13.0,23.880239785327795,12.294352211362513
2083,nyj_sdg_2023-11-06,/boxscores/202311060nyj.htm,9.0,1,75407.0,outdoors,83.0,4.0,48.0,41.0,-3.0,0,15.742990243902447,79.56868786386033,-20.19983380416287,-18.491859020499884,149.12165000000002,106.83983,6.0,27.0,21.956374212530328,14.35320144679081
2084,rai_nyj_2023-11-12,/boxscores/202311120rai.htm,10.0,2,62383.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,35.5,-1.0,1,146.36,18.45566605222735,-45.38096100994088,-14.62832747437454,132.18483,146.22277,16.0,12.0,19.843690318391698,20.963703214322155
2085,nyj_atl_2023-12-03,/boxscores/202312030nyj.htm,13.0,2,74455.0,outdoors,90.0,8.0,50.0,33.5,-2.0,0,11.872377450980409,26.946440033783745,-21.65412747865593,-19.37768226567105,132.71033,118.26752,8.0,13.0,20.001596445887586,13.125226863068196
2086,nyj_htx_2023-12-10,/boxscores/202312100nyj.htm,14.0,2,72956.0,outdoors,94.0,7.0,58.0,33.0,-3.0,0,14.420265527950365,101.48352380952385,-28.59709031859078,-9.650731172194543,168.7235,89.53083,30.0,6.0,27.6506786276771,8.539438086550533
2087,nyj_was_2023-12-24,/boxscores/202312240nyj.htm,16.0,2,67470.0,outdoors,80.0,2.0,45.0,37.5,-3.0,1,16.997415540540544,71.16241677795458,4.816600143412818,-22.29832462648885,165.03857000000002,108.54699,30.0,28.0,26.450284938562955,15.511759284201903
2088,cle_nyj_2023-12-28,/boxscores/202312280cle.htm,17.0,5,67919.0,outdoors,76.0,6.0,47.0,35.0,-7.0,0,95.20970961857388,20.99398162894923,-28.545373655599327,-3.7356887250144086,152.46585,152.42477000000002,37.0,20.0,28.770794282450446,22.893746442416067
2089,nwe_nyj_2024-01-07,/boxscores/202401070nwe.htm,18.0,2,64628.0,outdoors,98.0,14.0,33.0,29.5,-1.0,0,100.0735607751623,20.27867948717945,-12.55304520795606,4.712361282779862,96.81584,136.411,3.0,17.0,10.97837154492103,12.594701177832137
2090,dal_nwe_2023-10-01,/boxscores/202310010dal.htm,4.0,2,93719.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,43.5,-6.0,0,81.80963813068657,105.94973386889204,-9.270395864360088,4.737066361863697,166.32963,115.34963,38.0,3.0,28.682782255192997,17.721069538319995
2091,nwe_nor_2023-10-08,/boxscores/202310080nwe.htm,5.0,2,64628.0,outdoors,52.0,10.0,61.0,38.5,-1.0,1,104.84472914584371,46.03534026567943,-12.029417884422427,4.9244287333765815,86.66672,164.42176,0.0,34.0,11.420229488596815,18.597979962708553
2092,rai_nwe_2023-10-15,/boxscores/202310150rai.htm,6.0,2,61985.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,42.5,-2.0,0,42.93593773873182,103.62923762705012,-13.698097385770843,-13.993056316110104,152.97875000000002,124.40089,21.0,17.0,21.74904306640308,17.927000735249102
2093,nwe_was_2023-11-05,/boxscores/202311050nwe.htm,9.0,2,64628.0,outdoors,51.0,6.0,62.0,40.5,-2.0,1,101.65580697278916,73.36735544441518,-15.427563126933878,6.233713538806839,120.43315,181.38124,17.0,20.0,18.467065820227138,28.69691176576504
2094,nwe_clt_2023-11-12,/boxscores/202311120nwe.htm,10.0,2,50144.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,41.5,-2.0,0,100.8971155187064,48.552777777777706,-13.171925054057937,-8.276326270834202,154.63385,119.35041,6.0,10.0,22.51960734168563,14.274036857359807
2095,nyg_nwe_2023-11-26,/boxscores/202311260nyg.htm,12.0,2,82211.0,outdoors,65.0,6.0,43.0,34.0,-4.0,1,4.259722222222173,101.1098389319652,-42.43725004189159,5.492881051818014,113.65992,144.93844,10.0,7.0,10.519074086655511,21.656305291948033
2096,nwe_sdg_2023-12-03,/boxscores/202312030nwe.htm,13.0,2,64628.0,outdoors,94.0,8.0,44.0,39.0,-5.0,0,101.27482580343076,72.45370963874683,-22.36690442455597,1.2096352024245878,132.04783,127.69497,0.0,6.0,17.943858900103663,11.551178404054884
2097,pit_nwe_2023-12-07,/boxscores/202312070pit.htm,14.0,5,66376.0,outdoors,71.0,5.0,42.0,30.0,-6.0,0,86.98272185216209,101.15028501344084,-23.31154239619758,-24.525340229530467,140.10132000000002,131.72485,18.0,21.0,19.22647151093611,14.762428342692212
2098,nwe_kan_2023-12-17,/boxscores/202312170nwe.htm,15.0,1,64628.0,outdoors,74.0,7.0,53.0,37.0,-8.0,0,101.1819250070343,94.39986934063576,-15.937834448764551,-2.384874288982329,120.23362000000002,149.78199,17.0,27.0,15.050989057436803,19.553111281350184
2099,den_nwe_2023-12-24,/boxscores/202312240den.htm,16.0,2,76201.0,outdoors,50.0,9.0,28.0,35.0,-7.0,0,99.24842368094778,100.32229257098936,-26.043584731732413,3.181879018121414,139.75464,134.5173,23.0,26.0,18.35031693322944,15.33308337962684
2100,cin_rav_2023-09-17,/boxscores/202309170cin.htm,2.0,2,66015.0,outdoors,54.0,4.0,72.0,45.5,-3.0,0,37.46072029887916,101.95732077205886,-20.06169187272644,12.395707499134128,127.58781,162.61161,24.0,27.0,19.680631441320045,26.638840794870823
2101,rav_clt_2023-09-24,/boxscores/202309240rav.htm,3.0,2,70038.0,outdoors,88.0,3.0,68.0,44.5,-7.0,1,102.57197219672244,18.1725,-11.101106785170131,-3.4290674750170584,152.2897,161.61254,19.0,22.0,29.333383253712277,25.17684473182674
2102,cle_rav_2023-10-01,/boxscores/202310010cle.htm,4.0,2,67919.0,outdoors,79.0,7.0,71.0,41.0,-2.0,1,91.18115950715956,102.57835271317832,-12.758037866182704,-10.363749741467782,116.35696,133.81855,3.0,28.0,11.24761884775424,15.485512320494733
2103,pit_rav_2023-10-08,/boxscores/202310080pit.htm,5.0,2,67272.0,outdoors,62.0,13.0,53.0,38.5,-4.0,1,88.35550411039347,103.2742616718542,-9.929071112263394,-5.765049859415304,136.19534000000002,143.70981,17.0,10.0,18.25634695433571,18.36217167271619
2104,oti_rav_2023-10-15,/boxscores/202310150oti.htm,6.0,2,61011.0,outdoors,44.0,8.0,52.0,42.5,-5.0,1,48.24315980167817,103.2978038080196,0.4486631470802327,-1.3377571623262925,107.76941,161.91400000000002,16.0,24.0,13.828139479926069,23.358619982261875
2105,rav_det_2023-10-22,/boxscores/202310220rav.htm,7.0,2,70989.0,outdoors,42.0,16.0,62.0,43.5,-3.0,1,103.87418181818174,45.64182692307696,-12.124357681400046,10.601721370066162,170.7775,144.37108,38.0,6.0,30.629176727406573,24.465137439548492
2106,crd_rav_2023-10-29,/boxscores/202310290crd.htm,8.0,2,63064.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,44.5,-9.0,1,9.069999999999972,104.79056348257002,-15.477696419784715,11.33603941724516,139.15900000000002,129.80625,24.0,31.0,15.396381727382714,19.596198880262843
2107,rav_sea_2023-11-05,/boxscores/202311050rav.htm,9.0,2,70753.0,outdoors,32.0,6.0,70.0,44.5,-6.0,1,104.38253381366393,90.2554063813163,-37.50927851351471,5.433098737998404,195.68864,85.4758,37.0,3.0,32.14610795909557,14.15966395898477
2108,rav_cle_2023-11-12,/boxscores/202311120rav.htm,10.0,2,70424.0,outdoors,46.0,4.0,49.0,38.5,-6.0,1,106.4577477034304,91.82144476744188,-11.947451324224591,-13.333300914852398,124.87455,158.98497,31.0,33.0,19.281297618430376,20.23926009399073
2109,rav_cin_2023-11-16,/boxscores/202311160rav.htm,11.0,5,70997.0,outdoors,54.0,1.0,56.0,46.0,-4.0,1,105.83295915336964,33.90636017313299,-21.634223142076905,-17.7411870005498,153.29305000000002,129.05519,34.0,20.0,27.078817144378732,17.08751367302732
2110,sdg_rav_2023-11-26,/boxscores/202311260sdg.htm,12.0,2,70240.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,48.0,-3.0,1,74.6463509382248,106.43121023965148,-20.41696809932847,5.507992621539223,124.9348,153.50665,10.0,20.0,16.920968801595016,23.018523600318204
2111,rav_ram_2023-12-10,/boxscores/202312100rav.htm,14.0,2,70492.0,outdoors,91.0,5.0,57.0,39.5,-7.0,1,106.7353611891522,98.52385353535357,-4.087430974541844,-15.933658518010107,153.55238,169.42427,37.0,31.0,29.092666131402034,27.474609564889324
2112,jax_rav_2023-12-17,/boxscores/202312170jax.htm,15.0,2,68021.0,outdoors,81.0,13.0,58.0,42.0,-3.0,1,75.26603834494543,106.7577648727936,-25.127175266283384,13.45026703151346,131.15992,159.68249,7.0,23.0,18.345628183230026,24.19814678368367
2113,sfo_rav_2023-12-25,/boxscores/202312250sfo.htm,16.0,1,71812.0,outdoors,60.0,8.0,56.0,46.5,-6.0,0,123.11796422295052,106.98949247615036,5.102035791232168,4.505580516867414,153.9917,148.41055,19.0,33.0,27.44680027622325,24.373051495990534
2114,rav_pit_2024-01-06,/boxscores/202401060rav.htm,18.0,3,70355.0,outdoors,91.0,15.0,38.0,34.5,-3.0,0,107.00290101281402,86.25032417625309,-9.360621216128193,-9.41334929736446,109.95984,147.819,10.0,17.0,14.625130312284067,17.964220948035898
2115,rav_htx_2024-01-20,/boxscores/202401200rav.htm,21.0,3,71018.0,outdoors,40.0,16.0,27.0,43.5,-9.0,1,106.39063036461704,82.97423611111114,-17.179175887409777,-11.196480445489351,164.16921,101.67364,34.0,10.0,24.600511630571454,9.184871087737223
2116,rav_kan_2024-01-28,/boxscores/202401280rav.htm,,2,71439.0,outdoors,83.0,7.0,47.0,44.0,-4.0,1,107.07527040831783,95.657250902351,6.947525179103888,-19.899035026918845,120.72879,164.92659,10.0,17.0,17.50346341009667,23.092131855067375
2117,pit_cle_2023-09-18,/boxscores/202309180pit.htm,2.0,1,67576.0,outdoors,66.0,6.0,62.0,39.0,-2.0,1,91.25255753391475,83.84180430152685,-7.532257961086476,-29.072274917736543,115.63144,166.84098,26.0,22.0,15.120341407398415,23.48144247636724
2118,cle_oti_2023-09-24,/boxscores/202309240cle.htm,3.0,2,67919.0,outdoors,69.0,5.0,68.0,38.0,-3.0,1,86.48890044555837,49.35775873949965,-10.875114524452371,-5.7916617736873715,171.96574,79.84308,27.0,3.0,28.093960180841474,8.87205738121941
2119,cle_sfo_2023-10-15,/boxscores/202310150cle.htm,6.0,2,67431.0,outdoors,70.0,15.0,53.0,35.5,-9.0,0,87.97827976190473,121.36957295296168,-24.54171606606631,-12.085639167858092,147.88627,111.85108,19.0,17.0,19.62915229295848,13.719105543184162
2120,clt_cle_2023-10-22,/boxscores/202310220clt.htm,7.0,2,65552.0,retractable roof (open),59.4390243902439,8.56071964017991,58.11832611832612,39.5,-3.0,1,51.336666666666616,89.78853733708038,-26.567708861231058,-2.490568741675058,167.52432000000002,130.86524,38.0,39.0,26.22907509765326,20.94372443630655
2121,sea_cle_2023-10-29,/boxscores/202310290sea.htm,8.0,2,68807.0,outdoors,60.0,3.0,47.0,39.5,-4.0,0,90.50719808111292,87.04969989629242,-10.581299473851152,-20.014006599928244,127.15186,170.156,24.0,20.0,21.092577871210242,25.675076303451192
2122,cle_crd_2023-11-05,/boxscores/202311050cle.htm,9.0,2,67919.0,outdoors,58.0,7.0,56.0,38.5,-13.0,1,87.14423708599907,21.169583333333343,-12.702074104525549,-19.656742928166917,160.29343,79.71182,27.0,0.0,25.012856659928776,7.0208199917032115
2123,cle_pit_2023-11-19,/boxscores/202311190cle.htm,11.0,2,67919.0,outdoors,67.0,11.0,48.0,33.0,-2.0,1,92.61650994147794,86.12558423837372,-40.8994737163262,-4.1872038531745215,135.95346,121.08608,13.0,10.0,16.435426989176793,12.635143425957489
2124,den_cle_2023-11-26,/boxscores/202311260den.htm,12.0,2,76261.0,outdoors,37.0,5.0,40.0,37.0,-1.0,0,101.0552430721178,92.50113611329664,-7.639003886953966,-31.735321384675235,140.61853,123.27148,29.0,12.0,17.0703311481776,13.864306490647646
2125,ram_cle_2023-12-03,/boxscores/202312030ram.htm,13.0,2,72887.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,40.5,-4.0,0,98.0546248752375,91.46016218081434,-0.6047317461228099,-4.362049651162354,141.17997,154.53913,36.0,19.0,19.79773250599452,22.242775436149394
2126,cle_jax_2023-12-10,/boxscores/202312100cle.htm,14.0,2,67431.0,outdoors,70.0,11.0,39.0,34.0,-2.0,1,89.71646070795339,76.16327038861527,-33.304387393635864,11.94670276814067,158.36434,133.65068000000002,31.0,27.0,26.321706295630584,18.04167971708118
2127,cle_chi_2023-12-17,/boxscores/202312170cle.htm,15.0,2,67919.0,outdoors,84.0,15.0,45.0,38.0,-3.0,1,90.91147435897427,25.22051578947369,-20.852218222049363,-8.328109228389595,157.63008,124.50213,20.0,17.0,24.77338975467418,15.416495466763793
2128,htx_cle_2023-12-24,/boxscores/202312240htx.htm,16.0,2,70831.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,40.0,-3.0,1,89.51226190476176,92.7747023809524,-22.20292672289883,-3.690176101185683,120.02048,171.22953,22.0,36.0,15.364359648157377,26.8801768766558
2129,cin_cle_2024-01-07,/boxscores/202401070cin.htm,18.0,2,65865.0,outdoors,74.0,12.0,38.0,37.0,-7.0,0,32.982029569892504,96.04672634271104,-10.86061294314051,-2.1576400405771476,156.9925,110.49228,31.0,14.0,23.203432884789738,15.908605177250996
2130,htx_cle_2024-01-13,/boxscores/202401130htx.htm,20.0,3,71946.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,44.5,-2.0,1,80.52166013071891,94.09985785953177,-10.587168329206271,-0.5266552751405238,131.81911,161.77541,45.0,14.0,18.489417511300115,24.977342418846582
2131,rai_pit_2023-09-24,/boxscores/202309240rai.htm,3.0,2,62541.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,43.5,-3.0,0,40.17223997493737,90.22441329479766,-53.124511353205754,17.18395328566897,149.84184000000002,142.90597,18.0,23.0,23.084779849799624,24.752677785018555
2132,htx_pit_2023-10-01,/boxscores/202310010htx.htm,4.0,2,71399.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,41.5,-3.0,1,66.61499999999995,89.94310167992927,-23.90823178620029,9.704892098564931,168.61836,116.77717,30.0,6.0,24.17746588111088,18.59106484904395
2133,ram_pit_2023-10-22,/boxscores/202310220ram.htm,7.0,2,73471.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,43.5,-3.0,0,100.67051699100696,88.01411042678697,-16.81312479021121,-17.104734518580088,150.39629000000002,132.33592000000002,17.0,24.0,24.42678862487811,17.601460177074234
2134,pit_jax_2023-10-29,/boxscores/202310290pit.htm,8.0,2,67225.0,outdoors,95.0,2.0,58.0,40.5,-2.0,0,87.60958269131999,76.25310606060607,-7.96077436964511,-4.10644646835989,119.58567,162.77598,10.0,20.0,16.983985246942993,23.48180188339438
